2023-12-11 13:32:13,225 INFO    StreamThr :85666 [internal.py:wandb_internal():86] W&B internal server running at pid: 85666, started at: 2023-12-11 13:32:13.224832
2023-12-11 13:32:13,226 DEBUG   HandlerThread:85666 [handler.py:handle_request():146] handle_request: status
2023-12-11 13:32:13,230 INFO    WriterThread:85666 [datastore.py:open_for_write():85] open: /Users/ryanmarr/Documents/CognArch/GflowsForSimulation/wandb/run-20231211_133213-32vuuqp9/run-32vuuqp9.wandb
2023-12-11 13:32:13,230 DEBUG   SenderThread:85666 [sender.py:send():382] send: header
2023-12-11 13:32:13,254 DEBUG   SenderThread:85666 [sender.py:send():382] send: run
2023-12-11 13:32:13,549 INFO    SenderThread:85666 [dir_watcher.py:__init__():211] watching files in: /Users/ryanmarr/Documents/CognArch/GflowsForSimulation/wandb/run-20231211_133213-32vuuqp9/files
2023-12-11 13:32:13,549 INFO    SenderThread:85666 [sender.py:_start_run_threads():1136] run started: 32vuuqp9 with start time 1702330333.224659
2023-12-11 13:32:13,560 DEBUG   HandlerThread:85666 [handler.py:handle_request():146] handle_request: check_version
2023-12-11 13:32:13,560 DEBUG   SenderThread:85666 [sender.py:send_request():409] send_request: check_version
2023-12-11 13:32:13,685 DEBUG   HandlerThread:85666 [handler.py:handle_request():146] handle_request: run_start
2023-12-11 13:32:13,692 DEBUG   HandlerThread:85666 [system_info.py:__init__():32] System info init
2023-12-11 13:32:13,692 DEBUG   HandlerThread:85666 [system_info.py:__init__():47] System info init done
2023-12-11 13:32:13,692 INFO    HandlerThread:85666 [system_monitor.py:start():194] Starting system monitor
2023-12-11 13:32:13,692 INFO    SystemMonitor:85666 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-12-11 13:32:13,692 INFO    HandlerThread:85666 [system_monitor.py:probe():214] Collecting system info
2023-12-11 13:32:13,693 INFO    SystemMonitor:85666 [interfaces.py:start():190] Started cpu monitoring
2023-12-11 13:32:13,693 INFO    SystemMonitor:85666 [interfaces.py:start():190] Started disk monitoring
2023-12-11 13:32:13,693 DEBUG   HandlerThread:85666 [system_info.py:probe():196] Probing system
2023-12-11 13:32:13,694 INFO    SystemMonitor:85666 [interfaces.py:start():190] Started gpuapple monitoring
2023-12-11 13:32:13,699 INFO    SystemMonitor:85666 [interfaces.py:start():190] Started memory monitoring
2023-12-11 13:32:13,699 INFO    SystemMonitor:85666 [interfaces.py:start():190] Started network monitoring
2023-12-11 13:32:13,704 DEBUG   HandlerThread:85666 [system_info.py:_probe_git():181] Probing git
